programming_id,student_id,language,problems_solved,assessments_completed,mini_projects,certifications_earned,latest_project_score
1000,100,Python,2,8,1,0,94
1001,101,Python,9,7,4,0,78
1002,102,Rust,16,7,5,0,55
1003,103,C++,5,6,5,1,63
1004,104,C++,4,7,4,2,81
1005,105,JavaScript,18,7,3,1,86
1006,106,Python,2,7,4,2,60
1007,107,Python,20,8,2,0,100
1008,108,C++,8,7,3,1,55
1009,109,JavaScript,3,7,5,2,84
1010,110,Go,12,2,4,1,100
1011,111,Java,17,4,5,3,96
1012,112,JavaScript,3,5,5,2,65
1013,113,Rust,3,4,1,1,86
1014,114,C++,6,3,2,3,98
1015,115,JavaScript,13,8,2,0,41
1016,116,Go,5,5,1,2,50
1017,117,Java,3,2,5,0,81
1018,118,C++,13,7,3,3,45
1019,119,Go,9,5,5,2,61
1020,120,Go,11,4,3,2,62
1021,121,Go,16,4,3,3,41
1022,122,JavaScript,17,5,4,0,50
1023,123,C++,5,5,5,1,67
1024,124,Go,1,6,5,1,70
1025,125,Rust,20,5,5,3,96
1026,126,Go,19,5,3,1,61
1027,127,Python,15,2,3,2,64
1028,128,Rust,19,6,4,1,63
1029,129,Rust,14,2,2,1,50
1030,130,C++,12,4,2,0,67
1031,131,JavaScript,4,3,3,0,88
1032,132,JavaScript,16,7,3,3,75
1033,133,Python,6,7,5,1,40
1034,134,JavaScript,4,5,4,2,57
1035,135,Go,10,5,4,2,86
1036,136,C++,4,6,4,1,63
1037,137,Java,6,8,3,2,63
1038,138,Go,7,6,4,0,56
1039,139,Java,1,4,2,0,86
1040,140,Java,16,7,5,3,95
1041,141,Java,18,6,5,3,55
1042,142,Go,12,4,5,0,80
1043,143,C++,20,2,3,3,79
1044,144,JavaScript,10,4,3,0,56
1045,145,Python,12,2,4,0,99
1046,146,Java,12,7,2,2,88
1047,147,Go,14,7,4,0,59
1048,148,Python,1,4,1,1,70
1049,149,C++,15,6,1,2,74
1050,150,Python,1,7,4,3,50
1051,151,C++,10,7,5,0,61
1052,152,Go,20,2,3,1,55
1053,153,C++,4,8,3,1,43
1054,154,C++,12,3,4,3,56
1055,155,C++,20,2,5,3,67
1056,156,Rust,2,6,1,0,67
1057,157,Rust,1,6,3,2,45
1058,158,Go,18,2,4,0,46
1059,159,Java,3,2,2,3,43
1060,160,Go,12,3,3,3,92
1061,161,Rust,3,5,4,1,84
1062,162,C++,11,7,5,3,99
1063,163,Go,17,6,5,3,81
1064,164,Java,20,2,1,0,84
1065,165,Java,17,8,3,2,55
1066,166,Rust,8,6,3,0,95
1067,167,Python,16,6,3,2,48
1068,168,Rust,12,6,2,1,80
1069,169,C++,14,6,5,0,100
1070,170,Python,5,6,3,3,94
1071,171,JavaScript,14,6,2,3,62
1072,172,Java,9,3,4,1,79
1073,173,Python,19,4,2,0,94
1074,174,C++,3,3,5,2,45
1075,175,Java,20,2,2,0,67
1076,176,C++,5,3,3,3,43
1077,177,Python,4,6,4,2,81
1078,178,JavaScript,12,8,4,0,79
1079,179,Python,15,2,3,1,91
1080,180,Java,12,4,1,0,100
1081,181,Python,6,3,5,0,83
1082,182,Python,6,5,3,2,85
1083,183,Rust,14,3,1,2,41
1084,184,Java,7,5,1,0,50
1085,185,Java,13,2,5,2,55
1086,186,Java,13,5,5,1,55
1087,187,Python,8,4,3,1,74
1088,188,Python,5,6,1,0,44
1089,189,Rust,6,6,5,3,52
1090,190,Go,19,3,3,1,99
1091,191,Java,4,2,2,0,74
1092,192,JavaScript,19,6,1,1,61
1093,193,JavaScript,9,6,4,1,46
1094,194,C++,4,3,3,2,69
1095,195,Rust,18,4,2,2,51
1096,196,Java,3,7,3,0,72
1097,197,Go,8,7,4,3,62
1098,198,C++,19,6,2,0,40
1099,199,JavaScript,8,4,1,0,93
1100,200,Rust,2,4,4,0,69
1101,201,Go,20,5,3,2,89
1102,202,JavaScript,4,5,5,0,46
1103,203,Go,20,5,2,1,89
1104,204,C++,7,5,1,1,59
1105,205,Go,11,4,2,3,100
1106,206,JavaScript,18,7,3,3,72
1107,207,Rust,16,5,1,0,64
1108,208,Java,7,7,3,1,76
1109,209,Java,12,8,1,2,96
1110,210,Python,20,3,3,3,50
1111,211,JavaScript,11,6,1,1,92
1112,212,JavaScript,17,4,1,0,80
1113,213,JavaScript,18,2,3,1,83
1114,214,Rust,13,2,4,1,54
1115,215,Rust,11,8,3,1,63
1116,216,C++,7,4,1,2,55
1117,217,Go,13,5,4,2,80
1118,218,JavaScript,14,5,1,0,91
1119,219,C++,14,7,2,3,58
1120,220,Python,8,4,3,1,48
1121,221,Rust,20,4,3,0,41
1122,222,Python,9,4,4,2,65
1123,223,Java,3,6,5,0,73
1124,224,C++,3,8,3,0,69
1125,225,JavaScript,6,2,3,1,52
1126,226,Rust,19,3,4,3,89
1127,227,Java,4,5,2,1,100
1128,228,Python,16,2,2,2,94
1129,229,Python,20,7,3,2,100
1130,230,Python,2,8,3,2,97
1131,231,Go,3,4,3,0,95
1132,232,C++,12,7,3,3,67
1133,233,JavaScript,8,8,3,0,41
1134,234,Python,6,3,2,3,73
1135,235,Java,19,7,5,3,84
1136,236,C++,19,7,4,1,94
1137,237,JavaScript,17,3,5,2,87
1138,238,JavaScript,3,4,5,0,70
1139,239,Java,5,6,1,2,47
1140,240,Go,13,5,5,3,61
1141,241,Rust,1,4,4,0,94
1142,242,Python,11,4,2,2,43
1143,243,C++,1,3,5,2,60
1144,244,Java,5,8,3,0,55
1145,245,Python,1,2,2,0,81
1146,246,Python,5,2,2,0,45
1147,247,Python,8,2,3,2,61
1148,248,JavaScript,19,7,5,1,80
1149,249,Java,11,4,1,3,49
1150,250,Python,13,4,1,3,61
1151,251,JavaScript,5,2,2,1,66
1152,252,Java,13,4,2,3,62
1153,253,Java,13,4,5,3,64
1154,254,Java,3,3,5,2,59
1155,255,Rust,5,4,4,3,99
1156,256,Python,13,3,1,3,82
1157,257,Java,5,2,5,2,92
1158,258,Rust,9,2,1,3,66
1159,259,Python,9,4,2,0,71
1160,260,Java,8,6,1,1,60
1161,261,Python,12,4,1,1,49
1162,262,Python,11,3,2,3,62
1163,263,Rust,7,2,1,2,43
1164,264,Java,7,3,2,2,52
1165,265,Python,4,4,3,3,60
1166,266,Rust,14,3,1,2,68
1167,267,C++,20,3,4,0,87
1168,268,Python,18,5,5,3,77
1169,269,Java,20,2,3,2,58
1170,270,Go,8,3,1,1,73
1171,271,Python,2,4,2,3,83
1172,272,JavaScript,15,7,4,2,71
1173,273,JavaScript,12,7,2,0,86
1174,274,Python,2,3,5,0,83
1175,275,Rust,20,2,1,0,90
1176,276,Python,15,4,2,3,77
1177,277,C++,11,6,1,2,76
1178,278,C++,9,4,4,2,97
1179,279,Java,9,6,3,2,53
1180,280,C++,10,7,2,3,65
1181,281,Rust,8,6,5,2,92
1182,282,C++,10,7,2,2,60
1183,283,Python,17,8,5,2,40
1184,284,Java,2,2,3,3,77
1185,285,C++,2,3,1,2,84
1186,286,Rust,20,5,1,3,84
1187,287,Python,5,7,1,1,96
1188,288,Java,7,4,3,1,74
1189,289,Go,9,8,4,1,73
1190,290,Go,3,5,2,0,87
1191,291,Python,5,7,2,2,57
1192,292,Java,3,8,3,3,61
1193,293,Rust,14,4,5,1,94
1194,294,Java,11,3,4,1,52
1195,295,Rust,14,3,3,0,88
1196,296,C++,15,6,5,0,67
1197,297,Rust,13,8,5,0,85
1198,298,Java,6,2,4,3,80
1199,299,Java,7,4,5,0,71
